,simplified,traditional,pinyin,meaning,hsk,audio_file
42,水往下流。,水往下流。,Shuǐ wǎng xià liú.,The water is flowing down.,1,42.mp3
43,谢谢您。,謝謝您。,Xièxie nín.,Thank you!,1,43.mp3
44,我认识那位先生。,我認識那位先生。,Wǒ rènshi nà wèi xiānsheng.,I know that gentleman over there.,1,44.mp3
45,他喜欢看书。,他喜歡看書。,Tā xǐhuan kànshū.,He likes to read.,1,45.mp3
46,这座城市很大。,這座城市很大。,Zhè zuò chéngshì hěn dà.,This is a huge city.,1,46.mp3
47,那是什么东西？,那是什麼東西？,Nà shì shénme dōngxi?,What's that?,1,47.mp3
48,小女孩先上车。,小女孩先上車。,Xiǎo nǚhái xiān shàngchē.,The little girl gets on the bus first.,1,48.mp3
49,你叫什么名字？,你叫什麼名字？,Nǐ jiào shénme míngzi?,What's your name?,1,49.mp3
50,我爱我的母亲。,我愛我的母親。,Wǒ ài wǒ de mǔqin.,I love my mother.,1,50.mp3
51,新年快乐！,新年快樂！,Xīnnián kuàilè!,Happy New Year!,1,51.mp3
52,请给我一杯酒。,請給我一杯酒。,Qǐng gěi wǒ yī bēi jiǔ.,Please give me a glass of wine.,1,52.mp3
53,我回来了。,我回來了。,Wǒ huílái le.,"I'm back. Oh, no! What happened?",1,53.mp3
54,工作完成了。,工作完成了。,Gōngzuò wánchéng le.,The work is completed.,1,54.mp3
55,他很有钱。,他很有錢。,Tā hěn yǒu qián.,He's a rich man.,1,55.mp3
56,她在吃早餐。,她在吃早餐。,Tā zài chī zǎocān.,She's eating her breakfast.,1,56.mp3
57,开门看看。,開門看看。,Kāimén kànkan.,Open the door and take a look.,1,57.mp3
58,我家在二楼。,我家在二樓。,Wǒ jiā zài èr lóu.,My home is on the second floor.,1,58.mp3
59,哪个比较大？,哪個比較大？,Nǎge bǐjiào dà?,Which is bigger?,1,59.mp3
60,我认识了新朋友。,我認識了新朋友。,Wǒ rènshile xīn péngyou.,I have made a new friend.,1,60.mp3
61,妈妈很疼爱我。,媽媽很疼愛我。,Māma hěn téng'ài wǒ.,Mom loves me very much.,1,61.mp3
62,病人今天好多了。,病人今天好多了。,Bìngrén jīntiān hǎoduō le.,The patient is much better today.,1,62.mp3
63,现在几点钟？,現在幾點鐘？,Xiànzài jǐ diǎn zhōng?,What time is it now?,1,63.mp3
64,爸爸比我高很多。,爸爸比我高很多。,Bàba bǐ wǒ gāo hěn duō.,My father is much taller than me.,1,64.mp3
65,这些花很漂亮。,這些花很漂亮。,Zhèxiē huā hěn piàoliang.,These flowers are very beautiful.,1,65.mp3
66,这件衣服怎么样？,這件衣服怎麼樣？,Zhè jiàn yīfu zěnmeyàng?,How do you like this dress?,1,66.mp3
67,对不起让你失望了。,對不起讓你失望了。,Duìbuqǐ ràng nǐ shīwàng le.,I'm sorry to have disappointed you.,1,67.mp3
68,我住在二楼。,我住在二樓。,Wǒ zhù zài èr lóu.,I live on the second floor.,1,68.mp3
69,我下午三点上课。,我下午三點上課。,Wǒ xiàwǔ sān diǎn shàngkè.,I have a lesson at 3:00 p.m.,1,69.mp3
70,孩子们玩得非常高兴。,孩子們玩得非常高興。,Háizimen wán de fēicháng gāoxìng.,The children were extremely happy playing.,1,70.mp3
71,我买了三本书。,我買了三本書。,Wǒ mǎile sān běn shū.,I bought three books.,1,71.mp3
72,在中国，医生也叫大夫。,在中國，醫生也叫大夫。,"Zài Zhōngguó, yīshēng yě jiào dàifu.","In China, doctors are also called ""daifu"".",1,72.mp3
73,这里是哪儿？,這裡是哪兒？,Zhèli shì nǎr?,Where are we?,1,73.mp3
74,我不认识这个字。,我不認識這個字。,Wǒ bú rènshi zhège zì.,I don't know this character.,1,74.mp3
75,你叫什么名字？,你叫什麼名字？,Nǐ jiào shénme míngzi?,What's your name?,1,75.mp3
76,我认识这个汉字。,我認識這個漢字。,Wǒ rènshi zhège Hànzì.,I know this Chinese character.,1,76.mp3
77,请坐。,請坐。,Qǐng zuò.,Please be seated.,1,77.mp3
78,他喜欢喝酒。,他喜歡喝酒。,Tā xǐhuan hējiǔ.,He likes drinking alcohol.,1,78.mp3
79,他不会写字。,他不會寫字。,Tā bú huì xiězì.,He can't write.,1,79.mp3
80,她下个月生孩子。,她下個月生孩子。,Tā xià gè yuè shēng háizi.,Her baby is due next month.,1,80.mp3
81,这是我的电话号码。,這是我的電話號碼。,Zhè shì wǒ de diànhuà hàomǎ.,This is my telephone number.,1,81.mp3
82,我有一只小狗。,我有一隻小狗。,Wǒ yǒu yī zhī xiǎogǒu.,I've got a little dog.,1,82.mp3
83,他都十岁了。,他都十歲了。,Tā dōu shí suì le.,He's already ten years old.,1,83.mp3
84,我看见他了。,我看見他了。,Wǒ kànjiàn tā le.,I saw him.,1,84.mp3
85,我明天打电话给你。,我明天打電話給你。,Wǒ míngtiān dǎ diànhuà gěi nǐ.,I'll call you tomorrow.,1,85.mp3
86,喂，你好。,喂，你好。,"Wèi, nǐ hǎo.","Hey, how are you?",1,86.mp3
87,他是我的儿子。,他是我的兒子。,Tā shì wǒ de érzi.,He's my son.,1,87.mp3
88,这朵花很漂亮。,這朵花很漂亮。,Zhè duǒ huā hěn piàoliang.,This flower is very pretty.,1,88.mp3
89,十分钟后开会。,十分鐘後開會。,Shí fēnzhōng hòu kāihuì.,The meeting will start in 10 minutes.,1,89.mp3
90,我不想和你说再见。,我不想和你說再見。,Wǒ bù xiǎng hé nǐ shuō zàijiàn.,I don't want to say goodbye to you.,1,90.mp3
91,那本书是我的。,那本書是我的。,Nà běn shū shì wǒ de.,That book is mine.,1,91.mp3
92,我希望明天不下雨。,我希望明天不下雨。,Wǒ xīwàng míngtiān bú xiàyǔ.,I hope it won't rain tomorrow.,1,92.mp3
93,路上的行人很少。,路上的行人很少。,Lùshang de xíngrén hěn shǎo.,There are very few pedestrians on the street.,1,93.mp3
94,这件衣服多少钱？,這件衣服多少錢？,Zhè jiàn yīfu duōshǎo qián?,How much does the suit cost?,1,94.mp3
95,我有一百块钱。,我有一百塊錢。,Wǒ yǒu yībǎi kuài qián.,I've got one hundred RMB.,1,95.mp3
96,他们的女儿很可爱。,他們的女兒很可愛。,Tāmen de nǚ'ér hěn kě'ài.,Their daughter is lovely.,1,96.mp3
97,小姐，你好。,小姐，你好。,"Xiǎojie, nǐ hǎo.","Hello, Miss.",1,97.mp3
98,这件衣服多少钱？,這件衣服多少錢？,Zhè jiàn yīfu duōshǎo qián?,How much does the suit cost?,1,98.mp3
99,请给我一杯水。,請給我一杯水。,Qǐng gěi wǒ yì bēi shuǐ.,Please give me a glass of water.,1,99.mp3
100,学校里很安静。,學校裡很安靜。,Xuéxiào li hěn ānjìng.,It's very quiet inside the school.,1,100.mp3
101,我去看电影了。,我去看電影了。,Wǒ qù kàn diànyǐng le.,I went to see a movie.,1,101.mp3
102,我买了一本书。,我買了一本書。,Wǒ mǎile yì běn shū.,I bought a book.,1,102.mp3
103,我家有四个人。,我家有四個人。,Wǒ jiā yǒu sì gè rén.,There are four people in my family.,1,103.mp3
104,已经五点了。,已經五點了。,Yǐjing wǔ diǎn le.,It's already five o'clock.,1,104.mp3
105,妈妈在医院工作。,媽媽在醫院工作。,Māma zài yīyuàn gōngzuò.,Mom works in a hospital.,1,105.mp3
106,输一场比赛没关系。,輸一場比賽沒關係。,Shū yì chǎng bǐsài méiguānxi.,It doesn't matter if you lose one game.,1,106.mp3
107,飞机九点起飞。,飛機九點起飛。,Fēijī jiǔ diǎn qǐfēi.,The airplane departs at 9:00.,1,107.mp3
108,下个月是二月。,下個月是二月。,Xià gè yuè shì èryuè.,Next month is February.,1,108.mp3
109,我在电视台工作。,我在電視臺工作。,Wǒ zài diànshìtái gōngzuò.,I work at a television station.,1,109.mp3
110,他们在读一本书。,他們在讀一本書。,Tāmen zài dú yī běn shū.,They're reading a book.,1,110.mp3
111,太阳消失在云层后面。,太陽消失在雲層後面。,Tàiyáng xiāoshī zài yúncéng hòumian.,The sun is disappearing behind the clouds.,1,111.mp3
112,我从昨天开始戒烟。,我從昨天開始戒煙。,Wǒ cóng zuótiān kāishǐ jièyān.,I've stopped smoking as of yesterday.,1,112.mp3
113,我通常11点睡觉。,我通常11點睡覺。,Wǒ tōngcháng shíyī diǎn shuìjiào.,I usually sleep at eleven o'clock.,1,113.mp3
114,我弟弟六岁了。,我弟弟六歲了。,Wǒ dìdi liù suì le.,My younger brother is six years old.,1,114.mp3
115,她是我的老师。,她是我的老師。,Tā shì wǒ de lǎoshī.,She's my teacher.,1,115.mp3
116,一个星期有七天。,一個星期有七天。,Yí gè xīngqī yǒu qī tiān.,There are seven days in a week.,1,116.mp3
117,我能从一数到十。,我能從一數到十。,Wǒ néng cóng yī shǔ dào shí.,I can count from one to ten.,1,117.mp3
118,它是我的猫。,牠是我的貓。,Tā shì wǒ de māo.,It's my cat.,1,118.mp3
119,电脑的用途很广。,電腦的用途很廣。,Diànnǎo de yòngtú hěn guǎng.,Computers have many uses.,1,119.mp3
120,今天太热了！,今天太熱了！,Jīntiān tài rè le!,It's so hot today!,1,120.mp3
121,他们是外国留学生。,他們是外國留學生。,Tāmen shì wàiguó liúxuéshēng.,They're foreign students.,1,121.mp3
122,我下午三点上课。,我下午三點上課。,Wǒ xiàwǔ sān diǎn shàngkè.,I have a lesson at 3:00 p.m.,1,122.mp3
123,他们在图书馆里学习。,他們在圖書館裡學習。,Tāmen zài túshūguǎn lǐ xuéxí.,They're studying in the library.,1,123.mp3
124,天气很冷。,天氣很冷。,Tiānqì hěn lěng.,The weather is very cold.,1,124.mp3
125,不客气，我很愿意帮助你！,不客氣，我很願意幫助你！,"Búkèqi, wǒ hěn yuànyì bāngzhù nǐ!","Think nothing of it, I'm happy to help you!",1,125.mp3
126,房子前面有一辆车。,房子前面有一輛車。,Fángzi qiánmian yǒu yī liàng chē.,There's a car in front of the house.,1,126.mp3
127,妹妹八岁了。,妹妹八歲了。,Mèimei bā suì le.,My younger sister is eight years old.,1,127.mp3
128,在中国，医生也叫大夫。,在中國，醫生也叫大夫。,"Zài Zhōngguó, yīshēng yě jiào dàifu.","In China, doctors are also called ""daifu"".",1,128.mp3
129,长城是七大奇迹之一。,長城是七大奇跡之一。,Chángchéng shì qī dà qíjì zhī yī.,The Great Wall is one of the seven wonders of the world.,1,129.mp3
130,桌上摆了很多菜。,桌上擺了很多菜。,Zhuō shàng bǎile hěn duō cài.,There are a lot of dishes on the table.,1,130.mp3
131,桌子上有一杯咖啡。,桌子上有一杯咖啡。,Zhuōzi shàng yǒu yī bēi kāfēi.,There is a cup of coffee on the table.,1,131.mp3
132,我乘出租车离开。,我乘出租車離開。,Wǒ chéng chūzūchē líkāi.,I'm leaving by taxi.,1,132.mp3
133,今天天气很好。,今天天氣很好。,Jīntiān tiānqì hěn hǎo.,The weather is nice today.,1,133.mp3
134,你喝茶还是咖啡？,你喝茶還是咖啡？,Nǐ hē chá háishi kāfēi?,Would you prefer tea or coffee?,1,134.mp3
135,现在是九点。,現在是九點。,Xiànzài shì jiǔ diǎn.,It's nine o'clock now.,1,135.mp3
136,商店关门了。,商店關門了。,Shāngdiàn guānmén le.,The shop is closed.,1,136.mp3
137,这儿有一把椅子。,這兒有一把椅子。,Zhèr yǒu yì bǎ yǐzi.,There is a chair here.,1,137.mp3
138,我和她是同学。,我和她是同學。,Wǒ hé tā shì tóngxué.,She and I are schoolmates.,1,138.mp3
139,这个苹果很大。,這個蘋果很大。,Zhège píngguǒ hěn dà.,This apple is very big.,1,139.mp3
140,南边有饭店。,南邊有飯店。,Nánbiān yǒu fàndiàn.,There is a hotel at the south end.,1,140.mp3
141,她一直等到中午。,她一直等到中午。,Tā yīzhí děngdào zhōngwǔ.,She waited all the way till noon.,1,141.mp3
142,今天上午考试。,今天上午考試。,Jīntiān shàngwǔ kǎoshì.,I'm taking a test this morning.,1,142.mp3
143,我买了蔬菜、水果等等。,我買了蔬菜、水果等等。,"Wǒ mǎile shūcài, shuǐguǒ děngděng.","I bought vegetables, fruits, etc.",1,143.mp3
144,桌上放着一个杯子。,桌上放著一個杯子。,Zhuō shàng fàngzhe yí gè bēizi.,There is a glass on the table.,1,144.mp3
145,外面在下雨。,外面在下雨。,Wàimian zài xiàyǔ.,It's raining outside.,1,145.mp3
146,我们喜欢吃米饭。,我們喜歡吃米飯。,Wǒmen xǐhuan chī mǐfàn.,We like eating rice.,1,146.mp3
147,天安门广场位于北京市中心。,天安門廣場位于北京市中心。,Tiān'ānmén Guǎngchǎng wèiyú Běijīng Shì zhōngxīn.,Tiananmen Square is in the center of Beijing.,1,147.mp3
148,你会说汉语吗？,你會說漢語嗎？,Nǐ huì shuō Hànyǔ ma?,Can you speak Chinese?,1,148.mp3
149,要是你不来，我就跟你分手。,要是你不來，我就跟你分手。,"Yàoshi nǐ bù lái, wǒ jiù gēn nǐ fēnshǒu.","If you don't come, I am going to break up with you.",2,149.mp3
150,吃饭前要洗手。,吃飯前要洗手。,Chīfàn qián yào xǐshǒu.,We have to wash our hands before eating.,2,150.mp3
151,我不知道这件事。,我不知道這件事。,Wǒ bù zhīdào zhè jiàn shì.,I didn't know about that.,2,151.mp3
152,时间很晚了，我们回家吧！,時間很晚了，我們回家吧！,"Shíjiān hěn wǎn le, wǒmen huíjiā ba!","It's very late, so let's go home!",2,152.mp3
153,火车到站了。,火車到站了。,Huǒchē dàozhàn le.,The train arrived in the station.,2,153.mp3
154,你做对了。,你做對了。,Nǐ zuòduì le.,You've done the right thing.,2,154.mp3
155,我也喜欢看书。,我也喜歡看書。,Wǒ yě xǐhuan kànshū.,I also like to read.,2,155.mp3
156,我还没吃饭。,我還沒吃飯。,Wǒ hái méi chīfàn.,I haven't eaten yet.,2,156.mp3
157,让我来回答这个问题。,讓我來回答這個問題。,Ràng wǒ lái huídá zhège wèntí.,Let me answer this question.,2,157.mp3
158,请给我一杯酒。,請給我一杯酒。,Qǐng gěi wǒ yī bēi jiǔ.,Please give me a glass of wine.,2,158.mp3
159,我去过北京。,我去過北京。,Wǒ qùguò Běijīng.,I've been to Beijing.,2,159.mp3
160,你做得很好。,你做得很好。,Nǐ zuò de hěn hǎo.,You've done great.,2,160.mp3
161,海边的风景真美。,海邊的風景真美。,Hǎibiān de fēngjǐng zhēn měi.,The scenery by the seaside is really beautiful.,2,161.mp3
162,屋外下着雪。,屋外下著雪。,Wūwài xiàzhe xuě.,It's snowing outside.,2,162.mp3
163,这部手机可以拨打国际电话。,這部手機可以撥打國際電話。,Zhè bù shǒujī kěyǐ bōdǎ guójì diànhuà.,This cell phone can make international calls.,2,163.mp3
164,别担心。,別擔心。,Bié dānxīn.,Don't worry!,2,164.mp3
165,他走路上班。,他走路上班。,Tā zǒulù shàngbān.,He commutes to work on foot.,2,165.mp3
166,请告诉我答案。,請告訴我答案。,Qǐng gàosu wǒ dá'àn.,Please tell me the answer.,2,166.mp3
167,因为我病了，所以没去上学。,因為我病了，所以沒去上學。,"Yīnwèi wǒ bìng le, suǒyǐ méi qù shàngxué.",I didn't go to school because I got sick.,2,167.mp3
168,请你再说一遍。,請你再說一遍。,Qǐng nǐ zài shuō yí biàn.,Can you please say it again.,2,168.mp3
169,他写字很快。,他寫字很快。,Tā xiě zì hěn kuài.,He writes very quickly.,2,169.mp3
170,雨很大，但是他还是出门了。,雨很大，但是他還是出門了。,"Yǔ hěn dà, dànshì tā háishi chūmén le.",He went out though it was raining heavily.,2,170.mp3
171,已经五点了。,已經五點了。,Yǐjing wǔ diǎn le.,It's already five o'clock.,2,171.mp3
172,为什么？,為什麼？,Wèishénme?,Why?,2,172.mp3
173,她觉得很累。,她覺得很累。,Tā juéde hěn lèi.,She feels very tired.,2,173.mp3
174,它是我的猫。,牠是我的貓。,Tā shì wǒ de māo.,It's my cat.,2,174.mp3
175,我从美国来。,我從美國來。,Wǒ cóng Měiguó lái.,I'm from America.,2,175.mp3
176,我去图书馆找资料。,我去圖書館找資料。,Wǒ qù túshūguǎn zhǎo zīliào.,I'm going to the library to try to find some information/materials.,2,176.mp3
177,我最喜欢看书。,我最喜歡看書。,Wǒ zuì xǐhuan kànshū.,I love reading books most.,2,177.mp3
178,她可能在教室里。,她可能在教室裡。,Tā kěnéng zài jiàoshì li.,She might be in the classroom.,2,178.mp3
179,这是一次事故。,這是一次事故。,Zhè shì yí cì shìgù.,There was an accident.,2,179.mp3
180,他要出发了。,他要出發了。,Tā yào chūfā le.,He has to leave.,2,180.mp3
181,他还是小孩子。,他還是小孩子。,Tā háishi xiǎoháizi.,He's still a child.,2,181.mp3
182,因为我病了，所以没去上学。,因為我病了，所以沒去上學。,"Yīnwèi wǒ bìng le, suǒyǐ méi qù shàngxué.",I didn't go to school because I got sick.,2,182.mp3
183,我有两张门票。,我有兩張門票。,Wǒ yǒu liǎng zhāng ménpiào.,I've got two tickets.,2,183.mp3
184,我认为你错了。,我認為你錯了。,Wǒ rènwéi nǐ cuò le.,I think you're wrong.,2,184.mp3
185,大家在等公车。,大家在等公車。,Dàjiā zài děng gōngchē.,People are waiting for the bus.,2,185.mp3
186,这道数学题很难。,這道數學題很難。,Zhè dào shùxué tí hěn nán.,This math problem is very difficult.,2,186.mp3
187,我可以问你一件事吗？,我可以問你一件事嗎？,Wǒ kěyǐ wèn nǐ yí jiàn shì ma?,May I ask you a question?,2,187.mp3
188,汽车出问题了。,汽車出問題了。,Qìchē chū wèntí le.,There's something wrong with the car.,2,188.mp3
189,男朋友同我一起去旅行。,男朋友同我一起去旅行。,Nánpéngyou tóng wǒ yīqǐ qù lǚxíng.,My boyfriend and I travel together.,2,189.mp3
190,我从昨天开始戒烟。,我從昨天開始戒煙。,Wǒ cóng zuótiān kāishǐ jièyān.,I've stopped smoking as of yesterday.,2,190.mp3
191,起床的时间到了。,起床的時間到了。,Qǐchuáng de shíjiān dào le.,It's time to get up.,2,191.mp3
192,还有其他事情吗？,還有其他事情嗎？,Háiyǒu qítā shìqing ma?,Is there anything else?,2,192.mp3
193,我出去一下。,我出去一下。,Wǒ chūqù yíxià.,I'm going out for a bit.,2,193.mp3
194,孩子们玩得非常高兴。,孩子們玩得非常高興。,Háizimen wán de fēicháng gāoxìng.,The children were extremely happy playing.,2,194.mp3
195,我希望明天不下雨。,我希望明天不下雨。,Wǒ xīwàng míngtiān bú xiàyǔ.,I hope it won't rain tomorrow.,2,195.mp3
196,他已经准备好了。,他已經準備好了。,Tā yǐjīng zhǔnbèi hǎo le.,He already completed preparations.,2,196.mp3
197,我比他高。,我比他高。,Wǒ bǐ tā gāo.,I am taller than him.,2,197.mp3
198,这件衣服多少钱？,這件衣服多少錢？,Zhè jiàn yīfu duōshǎo qián?,How much does the suit cost?,2,198.mp3
199,你们明白我的意思了吗？,你們明白我的意思了嗎？,Nǐmen míngbai wǒ de yìsi le ma?,Do you understand what I mean?,2,199.mp3
200,我是第一名。,我是第一名。,Wǒ shì dì-yī míng.,I've achieved first place.,2,200.mp3
201,有人进去了。,有人進去了。,Yǒu rén jìnqù le.,Someone went in.,2,201.mp3
202,大家在吃午饭。,大家在吃午飯。,Dàjiā zài chī wǔfàn.,Everyone is eating lunch.,2,202.mp3
203,这是他们的新房子。,這是他們的新房子。,Zhè shì tāmen de xīn fángzi.,This is their new house.,2,203.mp3
204,请出示您的护照。,請出示您的護照。,Qǐng chūshì nín de hùzhào.,Please show your passport.,2,204.mp3
205,她们穿着相同的衣服。,她們穿著相同的衣服。,Tāmen chuānzhe xiāngtóng de yīfu.,They're wearing identical clothes.,2,205.mp3
206,这份礼物送给你。,這份禮物送給你。,Zhè fèn lǐwù sòng gěi nǐ.,This gift is for you.,2,206.mp3
207,孩子们玩得非常高兴。,孩子們玩得非常高興。,Háizimen wán de fēicháng gāoxìng.,The children were extremely happy playing.,2,207.mp3
208,手指甲太长了。,手指甲太長了。,Shǒuzhǐjia tài cháng le.,His fingernails are too long.,2,208.mp3
209,一小时后见。,一小時後見。,Yì xiǎoshí hòu jiàn.,We'll meet in an hour.,2,209.mp3
210,水喝完了。,水喝完了。,Shuǐ hēwán le.,I finished drinking the water.,2,210.mp3
211,我每天都刷牙。,我每天都刷牙。,Wǒ měi tiān dōu shuāyá.,I brush my teeth every day.,2,211.mp3
212,他一个人在公司。,他一個人在公司。,Tā yí gè rén zài gōngsī.,He's at the company by himself.,2,212.mp3
213,他喜欢帮助别人。,他喜歡幫助別人。,Tā xǐhuan bāngzhù biérén.,He likes helping others.,2,213.mp3
214,晚上我有事。,晚上我有事。,Wǎnshang wǒ yǒu shì.,I'm busy tonight.,2,214.mp3
215,他说话说得很大声。,他說話說得很大聲。,Tā shuōhuà shuō de hěn dàshēng.,He talks very loudly.,2,215.mp3
216,他站在门口。,他站在門口。,Tā zhàn zài ménkǒu.,He's standing at the entrance.,2,216.mp3
217,那个女人我认识。,那個女人我認識。,Nàge nǚrén wǒ rènshi.,I know that woman.,2,217.mp3
218,妈妈很忙。,媽媽很忙。,Māma hěn máng.,My mother is very busy.,2,218.mp3
219,我把房子卖了。,我把房子賣了。,Wǒ bǎ fángzi mài le.,I sold the house.,2,219.mp3
220,我比他高。,我比他高。,Wǒ bǐ tā gāo.,I am taller than him.,2,220.mp3
221,这个房间是我的。,這個房間是我的。,Zhège fángjiān shì wǒ de.,This room is mine.,2,221.mp3
222,这条路很长。,這條路很長。,Zhè tiáo lù hěn cháng.,This road is very long.,2,222.mp3
223,你懂英语吗？,你懂英語嗎？,Nǐ dǒng Yīngyǔ ma?,Do you understand English?,2,223.mp3
224,我们正在开会。,我們正在開會。,Wǒmen zhèng zài kāihuì.,We're in a meeting right now.,2,224.mp3
225,伊人在花丛中笑。,伊人在花叢中笑。,Yīrén zài huācóng zhōng xiào.,She is smiling in the flowers.,2,225.mp3
226,学校离我家很远。,學校離我家很遠。,Xuéxiào lí wǒ jiā hěn yuǎn.,The school is far away from my home.,2,226.mp3
227,我和妻子一起吃晚饭。,我和妻子一起吃晚飯。,Wǒ hé qīzi yìqǐ chī wǎnfàn.,I had supper with my wife.,2,227.mp3
228,他是我的丈夫。,他是我的丈夫。,Tā shì wǒ de zhàngfu.,He's my husband.,2,228.mp3
229,学校离我家很远。,學校離我家很遠。,Xuéxiào lí wǒ jiā hěn yuǎn.,The school is far away from my home.,2,229.mp3
230,请往左拐。,請往左拐。,Qǐng wǎng zuǒ guǎi.,Please turn left.,2,230.mp3
231,这是男厕所。,這是男廁所。,Zhè shì nán cèsuǒ.,This is the men's toilet.,2,231.mp3
232,她的眼睛很漂亮。,她的眼睛很漂亮。,Tā de yǎnjing hěn piàoliang.,Her eyes are beautiful.,2,232.mp3
233,新年快乐！,新年快樂！,Xīnnián kuàilè!,Happy New Year!,2,233.mp3
234,虽然跑得很累，但是很多人都没有放弃。,雖然跑得很累，但是很多人都沒有放棄。,"Suīrán pǎo de hěn lèi, dànshì hěn duō rén dōu méiyǒu fàngqì.","Though exhausted from running, many refused to give up.",2,234.mp3
235,今天早上天气不错。,今天早上天氣不錯。,Jīntiān zǎoshang tiānqì búcuò.,It's sunny this morning.,2,235.mp3
